Job Title,Company,Location,Country,Flag,Tier,Search Keyword,Posted Date,Crawl Date,Source,Easy Apply,Remote / Workplace,Match Score,Visa Sponsorship Mentioned,Required Skills,Resume File Path,Applied Status,Notes,Job URL,City,City Openings
Software Engineer (DevOps) - Site Reliability,Revolut,Remote,United Kingdom,🇬🇧,1,DevOps Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,Remote,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010173765416,Unknown,13
DevOps Engineer,PODFather,"Edinburgh, Scotland",United Kingdom,🇬🇧,1,DevOps Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.glassdoor.com/job-listing/?jl=1009351734398,Edinburgh,2
DevOps Engineer,Santriya Technologies,"London, England",United Kingdom,🇬🇧,1,DevOps Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.glassdoor.com/job-listing/?jl=1008692670098,London,14
DevOps Engineer,Solera,"Maidenhead, England",United Kingdom,🇬🇧,1,DevOps Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.glassdoor.com/job-listing/?jl=1006109473629,Maidenhead,1
DevOps Engineer- London,FDM Group,United Kingdom,United Kingdom,🇬🇧,1,DevOps Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010221232471,United Kingdom,1
Cloud Engineer,Yunex Traffic,"Poole, England",United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010183777719,Poole,1
Cloud Engineer,Winton Group,"London, England",United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010092833975,London,14
Cloud Engineer (Multiple),Cloudscaler Limited,"London, England",United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010204065928,London,14
ICT Cloud Engineer,Cheshire West and Chester Council,"Ellesmere Port, England",United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010226448957,Ellesmere Port,2
Cloud Engineer,QinetiQ,"Malvern, England",United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010179564982,Malvern,1
Cloud Engineer,DataSpartan,"London, England",United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.glassdoor.com/job-listing/?jl=1005587076391,London,14
Cloud Operation Engineer,Centric Software,"London, England",United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010136426311,London,14
AWS Cloud Engineer,Sopra Steria,"Hemel Hempstead, England",United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,AWS,Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010226780386,Hemel Hempstead,1
Site Reliability Engineer,NiCE,Remote,United Kingdom,🇬🇧,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,Remote,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010110483099,Unknown,13
Senior Site Reliability Engineer,Honeycomb,Remote,United Kingdom,🇬🇧,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,Remote,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010159760069,Unknown,13
Site Reliability Engineer,Ensono,Remote,United Kingdom,🇬🇧,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,Remote,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.glassdoor.com/job-listing/?jl=1008995284405,Unknown,13
"DevOps/Site Reliability Engineer, Junior/Mid/Senior (m/f/*)",Quaisr,"London, England",United Kingdom,🇬🇧,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010171584901,London,14
Lead Cloud Site Reliability Engineer,TheNottingham,"Nottingham, England",United Kingdom,🇬🇧,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010189460083,Nottingham,1
Site Reliability Engineer,GoCardless,"London, England",United Kingdom,🇬🇧,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010165250620,London,14
Senior Lead Site Reliability / DevOps Engineer,JPMorganChase,"Glasgow, Scotland",United Kingdom,🇬🇧,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010138319523,Glasgow,2
Senior Site Reliability Engineer,NiCE,Remote,United Kingdom,🇬🇧,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,Remote,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.glassdoor.com/job-listing/?jl=1009970139788,Unknown,13
Site Reliability Engineer- London,FDM Group,"London, England",United Kingdom,🇬🇧,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010207175507,London,14
Site Reliability Engineer,Intapp,"Belfast, Northern Ireland",United Kingdom,🇬🇧,1,Platform Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010170465193,Belfast,2
Site Reliability Engineer,Cantor Fitzgerald,"Belfast, Northern Ireland",United Kingdom,🇬🇧,1,Platform Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010207194953,Belfast,2
Site Reliability Engineer,Barclays,"Glasgow, Scotland",United Kingdom,🇬🇧,1,Platform Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010183141708,Glasgow,2
Site Reliability Engineer (DataCosmos),Open Cosmos,"Didcot, England",United Kingdom,🇬🇧,1,Platform Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010116456992,Didcot,1
Senior DevOps Engineer (Salesforce),OFGEM,"OFGEM
Hybrid work in Cardiff",United Kingdom,🇬🇧,1,DevOps Engineer,2026-08-13,2026-08-13,Indeed-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=0d29b9396e21dd28,"OFGEM
Hybrid work in Cardiff",1
Mid and Senior Site Reliability Engineer (Platform Engineering/Identity/Azure),Government Digital Service,"Government Digital Service
Hybrid work in London",United Kingdom,🇬🇧,1,DevOps Engineer,2026-08-13,2026-08-13,Indeed-Browser,No,On-site / Hybrid,90%,No,Azure,Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=942fa2f5654ad488,"Government Digital Service
Hybrid work in London",1
Senior Test Engineer,HM Revenue and Customs,"HM Revenue and Customs
Hybrid work in Leeds",United Kingdom,🇬🇧,1,DevOps Engineer,2026-08-13,2026-08-13,Indeed-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=ec5032d315581de0,"HM Revenue and Customs
Hybrid work in Leeds",1
Software Engineer III - SRE,JPMorganChase,"JPMorganChase
Bournemouth BH7 7DA",United Kingdom,🇬🇧,1,DevOps Engineer,2026-08-13,2026-08-13,Indeed-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=a567cacf29fbf799,"JPMorganChase
Bournemouth BH7 7DA",2
Lead Software Engineer - GLCM Postings,JPMorganChase,"JPMorganChase
Bournemouth BH7 7DA",United Kingdom,🇬🇧,1,DevOps Engineer,2026-08-13,2026-08-13,Indeed-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=bf155c1ea39fe12b,"JPMorganChase
Bournemouth BH7 7DA",2
Senior Dynamics Developer (Power Platform),Driver and Vehicle Standards Agency,"Driver and Vehicle Standards Agency
Hybrid work in Yeading",United Kingdom,🇬🇧,1,DevOps Engineer,2026-08-13,2026-08-13,Indeed-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=1040cf041ea5e35e,"Driver and Vehicle Standards Agency
Hybrid work in Yeading",1
Lead Performance Test Engineer,Capgemini Sogeti,"Capgemini Sogeti
Hybrid work in London",United Kingdom,🇬🇧,1,DevOps Engineer,2026-08-13,2026-08-13,Indeed-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=0e924d0ed013647c,"Capgemini Sogeti
Hybrid work in London",1
Sr Lead Software Engineer- Public Cloud,JPMorganChase,"JPMorganChase
Glasgow G2",United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-13,2026-08-13,Indeed-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=25438cf875cae94c,"JPMorganChase
Glasgow G2",1
"Staff Forward Deployed Engineer, Google Cloud Public Sector",Google,"Google
London",United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-13,2026-08-13,Indeed-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=9b7c5c7d028cf38a,"Google
London",2
"AI Solutions Deployment Manager, Cloud Applied AI",Google,"Google
London",United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-13,2026-08-13,Indeed-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=f8ed049d80a8cc48,"Google
London",2
Sr. Azure Engineer,FalconSmartIT,"FalconSmartIT
Hybrid work in Guildford GU1",United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-13,2026-08-13,Indeed-Browser,No,On-site / Hybrid,80%,No,Azure,Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=ec4745e69aa77058,"FalconSmartIT
Hybrid work in Guildford GU1",1
AWS Workspace Engineer- UK Remote,MEDIDATA,"MEDIDATA
London",United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-13,2026-08-13,Indeed-Browser,No,Remote,90%,No,AWS,Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=f92e9f8b9ab27337,"MEDIDATA
London",1
System Engineer (Compute Node),Nebius,"Nebius
London",United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-13,2026-08-13,Indeed-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=990fdeaa3ff7c3c0,"Nebius
London",1
Senior System Engineer (Virtual Private Cloud Team),Nebius,"Nebius
Remote in London",United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-13,2026-08-13,Indeed-Browser,No,Remote,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=084eccbb3d336fd5,"Nebius
Remote in London",1
Junior Cloud Reliability Engineer,Jagex: The RuneScape Company,"Jagex: The RuneScape Company
Hybrid work in Cambridge",United Kingdom,🇬🇧,1,Cloud Engineer,2026-08-13,2026-08-13,Indeed-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=6e016d8e58c602c4,"Jagex: The RuneScape Company
Hybrid work in Cambridge",1
Site Engineer,Balfour Beatty,"Balfour Beatty
Stirling",United Kingdom,🇬🇧,1,Site Reliability Engineer,2026-08-13,2026-08-13,Indeed-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=ecdf28c40c148d61,"Balfour Beatty
Stirling",1
Reliability Engineer,DS Smith,"DS Smith
Burscough",United Kingdom,🇬🇧,1,Site Reliability Engineer,2026-08-13,2026-08-13,Indeed-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=06207d67a5c0fc54,"DS Smith
Burscough",1
Reliability Engineer,DS Smith,DS SmithBurscough,United Kingdom,🇬🇧,1,Site Reliability Engineer,2026-08-13,2026-08-13,Indeed-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=abcdef0123456789,DS SmithBurscough,1
Senior Infrastructure Engineer,Cabot Financial,"Cabot Financial
Hybrid work in West Malling ME19 4UA",United Kingdom,🇬🇧,1,Site Reliability Engineer,2026-08-13,2026-08-13,Indeed-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=7689b1eb818e13c1,"Cabot Financial
Hybrid work in West Malling ME19 4UA",1
Manager Technology Ops Engineering,American Express,"American Express
Burgess Hill",United Kingdom,🇬🇧,1,Site Reliability Engineer,2026-08-13,2026-08-13,Indeed-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=1ce218d7e6fe4fa5,"American Express
Burgess Hill",1
Lead Performance Test Engineer,Capgemini,"Capgemini
Hybrid work in London",United Kingdom,🇬🇧,1,Site Reliability Engineer,2026-08-13,2026-08-13,Indeed-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_UNITED_KINGDOM.docx,No,,https://www.indeed.com/viewjob?jk=73f7d0319294018e,"Capgemini
Hybrid work in London",1
